Node ID,X Coordinate,Y Coordinate,DOF ID
293,1.358333,1.,292
294,1.358333,0.933333,293
295,1.358333,0.866667,294
296,1.416667,0.933333,295
297,1.416667,0.866667,296
298,1.475,0.933333,297
299,1.475,0.866667,298
300,1.533333,0.933333,299
301,1.533333,0.866667,300
302,1.591667,0.933333,301
303,1.591667,0.866667,302
304,1.65,0.933333,303
305,1.65,0.866667,304
306,1.708333,0.933333,305
307,1.708333,0.866667,306
308,1.766667,0.933333,307
309,1.766667,0.866667,308
310,1.825,0.933333,309
311,1.825,0.866667,310
312,1.883333,0.933333,311
313,1.883333,0.866667,312
314,1.941667,0.933333,313
315,1.941667,0.866667,314
316,1.358333,0.2,315
317,1.416667,0.2,316
318,1.475,0.2,317
319,1.533333,0.2,318
320,1.591667,0.2,319
321,1.65,0.2,320
322,1.708333,0.2,321
323,1.766667,0.2,322
324,1.825,0.2,323
325,1.883333,0.2,324
326,1.941667,0.2,325
327,2.,0.2,326
328,1.06,0.2,327
329,1.12,0.2,328
330,1.18,0.2,329
331,1.24,0.2,330
332,2.,0.56,331
333,2.,0.62,332
334,2.,0.68,333
335,2.,0.74,334
336,1.358333,0.74,335
337,1.358333,0.68,336
338,1.358333,0.62,337
339,1.358333,0.56,338
340,1.416667,0.74,339
341,1.416667,0.68,340
342,1.416667,0.62,341
343,1.416667,0.56,342
344,1.475,0.74,343
345,1.475,0.68,344
346,1.475,0.62,345
347,1.475,0.56,346
348,1.533333,0.74,347
349,1.533333,0.68,348
350,1.533333,0.62,349
351,1.533333,0.56,350
352,1.591667,0.74,351
353,1.591667,0.68,352
354,1.591667,0.62,353
355,1.591667,0.56,354
356,1.65,0.74,355
357,1.65,0.68,356
358,1.65,0.62,357
359,1.65,0.56,358
360,1.708333,0.74,359
361,1.708333,0.68,360
362,1.708333,0.62,361
363,1.708333,0.56,362
364,1.766667,0.74,363
365,1.766667,0.68,364
366,1.766667,0.62,365
367,1.766667,0.56,366
368,1.825,0.74,367
369,1.825,0.68,368
370,1.825,0.62,369
371,1.825,0.56,370
372,1.883333,0.74,371
373,1.883333,0.68,372
374,1.883333,0.62,373
375,1.883333,0.56,374
376,1.941667,0.74,375
377,1.941667,0.68,376
378,1.941667,0.62,377
379,1.941667,0.56,378
380,1.3,0.133333,379
381,1.3,0.0666667,380
382,1.3,0.,381
383,2.,0.26,382
384,2.,0.32,383
385,2.,0.38,384
386,2.,0.44,385
387,1.358333,0.44,386
388,1.358333,0.38,387
389,1.358333,0.32,388
390,1.358333,0.26,389
391,1.416667,0.44,390
392,1.416667,0.38,391
393,1.416667,0.32,392
394,1.416667,0.26,393
395,1.475,0.44,394
396,1.475,0.38,395
397,1.475,0.32,396
398,1.475,0.26,397
399,1.533333,0.44,398
400,1.533333,0.38,399
401,1.533333,0.32,400
402,1.533333,0.26,401
403,1.591667,0.44,402
404,1.591667,0.38,403
405,1.591667,0.32,404
406,1.591667,0.26,405
407,1.65,0.44,406
408,1.65,0.38,407
409,1.65,0.32,408
410,1.65,0.26,409
411,1.708333,0.44,410
412,1.708333,0.38,411
413,1.708333,0.32,412
414,1.708333,0.26,413
415,1.766667,0.44,414
416,1.766667,0.38,415
417,1.766667,0.32,416
418,1.766667,0.26,417
419,1.825,0.44,418
420,1.825,0.38,419
421,1.825,0.32,420
422,1.825,0.26,421
423,1.883333,0.44,422
424,1.883333,0.38,423
425,1.883333,0.32,424
426,1.883333,0.26,425
427,1.941667,0.44,426
428,1.941667,0.38,427
429,1.941667,0.32,428
430,1.941667,0.26,429
